0;1
0;2
0;4
0;8
0;16
1;3
1;5
1;9
1;17
2;3
2;6
2;10
2;18
4;5
4;6
4;12
4;20
8;9
8;10
8;12
8;24
16;17
16;18
16;20
16;24
3;7
3;11
3;19
5;7
5;13
5;21
6;7
6;14
6;22
9;11
9;13
9;25
10;11
10;14
10;26
12;13
12;14
12;28
17;19
17;21
17;25
18;19
18;22
18;26
20;21
20;22
20;28
24;25
24;26
24;28
7;15
7;23
11;15
11;27
13;15
13;29
14;15
14;30
19;23
19;27
21;23
21;29
22;23
22;30
25;27
25;29
26;27
26;30
28;29
28;30
15;31
23;31
27;31
29;31
30;31
0;8
1;9
2;10
4;12
8;10
16;16
3;11
5;13
6;7
9;11
10;10
12;12
16;17
16;18
16;20
16;24
7;7
10;11
9;13
10;14
17;19
5;21
6;22
9;25
10;26
12;28
11;15
7;23
11;27
13;29
14;30
15;31

