2185;2185
1035;1034
3013;3012
66;578
2433;2433
136;168
66;66
2624;2624
136;136
136;136
136;128
255;255
383;383
1859;1859
995;995
309;309
3977;3977
1035;1035
4048;4048
887;887
341;341
2602;2602
2105;2105
1846;1846
808;808
2957;2957
3259;3259
970;970
814;814
314;314
3196;3196
1068;1068
2132;2132
1634;1634
4029;4029
2335;2335
1794;1794
3365;3365
622;622
3219;3219
1794;1538
2185;2185
2624;2656
1035;1034
3013;3012
66;578
2433;2433
168;424
136;168
66;66
2624;2624
136;200
128;132
136;136
136;136
136;8
136;128
255;255
383;383
1859;1859
995;995
309;309
3977;3977
1035;1035
4048;4048
887;887
341;341
2602;2602
2105;2105
1846;1846
808;808
2957;2957
3259;3259
970;970
814;814
314;314
3196;3196
1068;1068
2132;2132
1634;1634
1794;1538
2185;2185
2624;2656
1035;1034
3013;3012
66;578
66;578
2433;2433
2656;2592
424;488
2624;3648
1538;1026
168;424
132;164
136;168
66;66
2624;2624
2132;2116
128;144
8;520
168;160
136;200
128;132
2433;2432
136;136
136;136
200;136
136;8
136;128
136;128
136;128
255;255
383;383
1859;1859
995;995
309;309
3977;3977
1035;1035
4048;4048
887;887
1034;3082
2592;3616
2624;2626
1794;1538
2185;2185
2624;2656
1035;1034
3013;3012
164;1188
160;162
66;578
66;578
2433;2433
2656;2592
424;488
1026;1282
136;137
2624;3648
144;1168
1538;1026
1538;1026
2116;2124
168;424
424;296
132;164
488;480
136;168
66;66
2624;2624
2132;2116
2432;2436
128;144
128;144
8;520
8;12
168;160
132;196
136;200
136;392
128;132
1034;3082
2592;3616
2624;2626
1538;1666
2592;2600
1794;1538
2624;2656
1026;1034
296;1320
164;1188
160;162
164;1188
480;992
3012;2884
66;578
196;198
2433;2305
12;44
2656;2592
424;488
3616;2592
1026;1282
2124;2380
136;137
2624;3648
392;408
2626;2114
144;1168
1538;1026
1538;1026
2116;2124
2116;2124
168;424
168;424
424;296
132;164
132;164
1188;1184
488;480
520;2568
1034;3082
1034;3082
2592;3616
162;2210
2592;3616
2624;2626
1538;1666
2592;2600
1538;1666
2568;2600
1666;1538
137;2185
2305;2369
1026;1034
296;1320
164;1188
160;162
164;1188
480;992
3012;2884
66;578
196;198
2433;2305
12;44
3082;2058
2656;2592
424;488
3616;2592
1168;1424
1026;1282
2124;2380
136;137
2624;3648
392;408
2626;2114
198;134
1026;1154
144;1168
1538;1026
1538;1026
1034;3082
1034;3082
2592;3616
162;2210
2592;3616
2624;2626
1538;1666
2592;2600
1538;1666
2568;2600
1666;1538
2369;2497
137;2185
2305;2369
1026;1034
296;1320
164;1188
160;162
164;1188
480;992
3012;2884
196;198
2305;2433
2592;2720
2433;2305
12;44
3082;2058
3616;2592
1168;1424
1026;1282
2124;2380
136;137
392;408
3616;3104
2626;2114
198;134
1538;514
1026;1154
144;1168
1538;1026
1034;3082
162;2210
2592;3616
1538;1666
2592;2600
1538;1666
2568;2600
2592;2600
1666;1538
2369;2497
2369;2497
1282;3330
137;2185
2305;2369
1026;1034
296;1320
3082;1034
164;1188
480;992
3012;2884
196;198
992;864
2305;2433
2592;2720
2433;2305
12;44
3082;2058
1026;1090
3616;2592
1168;1424
2124;2380
392;408
3616;3104
3616;3104
2114;2242
2626;2114
198;134
1538;514
1026;1154
1666;1154
1034;3082
1034;3082
162;2210
2592;3616
3104;3616
1538;1666
2568;2600
2592;2600
1666;1538
2369;2497
2369;2497
2369;2497
3104;3112
1282;3330
137;2185
2305;2369
2592;2656
3082;1034
2210;162
3616;1568
1154;3202
992;864
3330;3074
2305;2433
2497;2433
44;172
1090;1218
2592;2720
3082;2058
1026;1090
1168;1424
3616;3104
3616;3104
2114;2242
1666;642
2114;2242
198;134
1538;514
1026;1154
1666;1154
1034;3082
3104;3616
3104;3108
2592;2600
2369;2497
2369;2497
2369;2497
3104;3112
1282;3330
2592;2656
3082;1034
3082;1034
2210;162
3616;1568
1154;3202
1154;3202
992;864
3330;3074
2305;2433
2497;2433
44;172
1090;1218
2592;2720
1026;1090
3082;2058
172;44
2497;449
3616;3104
3616;3104
2114;2242
1666;642
2114;2242
1538;514
2242;2114
1666;1154
3112;2088
1666;1664
162;160
2497;2496
3104;3072
3616;3744
1034;3082
3104;3616
1568;3616
3104;3108
2592;2600
642;1666
3074;3138
2369;2497
2369;2497
3104;3112
1282;3330
2592;2656
3082;1034
3082;1034
2210;162
3616;1568
1154;3202
1154;3202
2497;2241
992;864
3330;3074
2497;2433
44;172
1090;1218
2088;2152
2496;2512
1026;1090
3082;2058
172;44
2497;449
2497;449
2656;2592
3330;1282
3616;3104
2114;2242
1666;642
2114;2242
2433;2177
2242;2114
3744;3744
