id,eigencentrality
0,0.0
1,1.5471084135484144E-5
2,1.5471084135484144E-5
4,1.5471084135484144E-5
8,1.5471084135484144E-5
16,1.5471084135484144E-5
32,1.5471084135484144E-5
64,1.5471084135484144E-5
128,1.5471084135484144E-5
256,1.5471084135484144E-5
512,1.5471084135484144E-5
1024,1.5471084135484144E-5
2048,1.5471084135484144E-5
4096,1.5471084135484144E-5
8192,1.5471084135484144E-5
3,6.35921291508051E-5
5,6.35921291508051E-5
9,6.35921291508051E-5
17,6.35921291508051E-5
33,6.35921291508051E-5
65,6.35921291508051E-5
129,6.35921291508051E-5
257,6.35921291508051E-5
513,6.35921291508051E-5
1025,6.35921291508051E-5
2049,6.35921291508051E-5
4097,6.35921291508051E-5
8193,6.35921291508051E-5
6,6.35921291508051E-5
10,6.35921291508051E-5
18,6.35921291508051E-5
34,6.35921291508051E-5
66,6.35921291508051E-5
130,6.35921291508051E-5
258,6.35921291508051E-5
514,6.35921291508051E-5
1026,6.35921291508051E-5
2050,6.35921291508051E-5
4098,6.35921291508051E-5
8194,6.35921291508051E-5
7,1.9559353063875948E-4
11,1.9559353063875948E-4
19,1.9559353063875948E-4
35,1.9559353063875948E-4
67,1.9559353063875948E-4
131,1.9559353063875948E-4
259,1.9559353063875948E-4
515,1.9559353063875948E-4
1027,1.9559353063875948E-4
2051,1.9559353063875948E-4
4099,1.9559353063875948E-4
8195,1.9559353063875948E-4
12,6.35921291508051E-5
20,6.35921291508051E-5
36,6.35921291508051E-5
68,6.35921291508051E-5
132,6.35921291508051E-5
260,6.35921291508051E-5
516,6.35921291508051E-5
1028,6.35921291508051E-5
2052,6.35921291508051E-5
4100,6.35921291508051E-5
8196,6.35921291508051E-5
13,1.9559353063875948E-4
21,1.9559353063875948E-4
37,1.9559353063875948E-4
69,1.9559353063875948E-4
133,1.9559353063875948E-4
261,1.9559353063875948E-4
517,1.9559353063875948E-4
1029,1.9559353063875948E-4
2053,1.9559353063875948E-4
4101,1.9559353063875948E-4
8197,1.9559353063875948E-4
14,1.9559353063875948E-4
22,1.9559353063875948E-4
38,1.9559353063875948E-4
70,1.9559353063875948E-4
134,1.9559353063875948E-4
262,1.9559353063875948E-4
518,1.9559353063875948E-4
1030,1.9559353063875948E-4
2054,1.9559353063875948E-4
4102,1.9559353063875948E-4
8198,1.9559353063875948E-4
15,5.335813021087147E-4
23,5.335813021087147E-4
39,5.335813021087147E-4
71,5.335813021087147E-4
135,5.335813021087147E-4
263,5.335813021087147E-4
519,5.335813021087147E-4
1031,5.335813021087147E-4
2055,5.335813021087147E-4
4103,5.335813021087147E-4
8199,5.335813021087147E-4
24,6.35921291508051E-5
40,6.35921291508051E-5
72,6.35921291508051E-5
136,6.35921291508051E-5
264,6.35921291508051E-5
520,6.35921291508051E-5
1032,6.35921291508051E-5
2056,6.35921291508051E-5
4104,6.35921291508051E-5
8200,6.35921291508051E-5
25,1.9559353063875948E-4
41,1.9559353063875948E-4
73,1.9559353063875948E-4
137,1.9559353063875948E-4
265,1.9559353063875948E-4
521,1.9559353063875948E-4
1033,1.9559353063875948E-4
2057,1.9559353063875948E-4
4105,1.9559353063875948E-4
8201,1.9559353063875948E-4
26,1.9559353063875948E-4
42,1.9559353063875948E-4
74,1.9559353063875948E-4
138,1.9559353063875948E-4
266,1.9559353063875948E-4
522,1.9559353063875948E-4
1034,1.9559353063875948E-4
2058,1.9559353063875948E-4
4106,1.9559353063875948E-4
8202,1.9559353063875948E-4
27,5.335813021087147E-4
43,5.335813021087147E-4
75,5.335813021087147E-4
139,5.335813021087147E-4
267,5.335813021087147E-4
523,5.335813021087147E-4
1035,5.335813021087147E-4
2059,5.335813021087147E-4
4107,5.335813021087147E-4
8203,5.335813021087147E-4
28,1.9559353063875948E-4
44,1.9559353063875948E-4
76,1.9559353063875948E-4
140,1.9559353063875948E-4
268,1.9559353063875948E-4
524,1.9559353063875948E-4
1036,1.9559353063875948E-4
2060,1.9559353063875948E-4
4108,1.9559353063875948E-4
8204,1.9559353063875948E-4
29,5.335813021087147E-4
45,5.335813021087147E-4
77,5.335813021087147E-4
141,5.335813021087147E-4
269,5.335813021087147E-4
525,5.335813021087147E-4
1037,5.335813021087147E-4
2061,5.335813021087147E-4
4109,5.335813021087147E-4
8205,5.335813021087147E-4
30,5.335813021087147E-4
46,5.335813021087147E-4
78,5.335813021087147E-4
142,5.335813021087147E-4
270,5.335813021087147E-4
526,5.335813021087147E-4
1038,5.335813021087147E-4
2062,5.335813021087147E-4
4110,5.335813021087147E-4
8206,5.335813021087147E-4
31,0.0013617664905195017
47,0.0013617664905195017
79,0.0013617664905195017
143,0.0013617664905195017
271,0.0013617664905195017
527,0.0013617664905195017
1039,0.0013617664905195017
2063,0.0013617664905195017
4111,0.0013617664905195017
8207,0.0013617664905195017
48,6.35921291508051E-5
80,6.35921291508051E-5
144,6.35921291508051E-5
272,6.35921291508051E-5
528,6.35921291508051E-5
1040,6.35921291508051E-5
2064,6.35921291508051E-5
4112,6.35921291508051E-5
8208,6.35921291508051E-5
49,1.9559353063875948E-4
81,1.9559353063875948E-4
145,1.9559353063875948E-4
273,1.9559353063875948E-4
529,1.9559353063875948E-4
1041,1.9559353063875948E-4
2065,1.9559353063875948E-4
4113,1.9559353063875948E-4
8209,1.9559353063875948E-4
50,1.9559353063875948E-4
82,1.9559353063875948E-4
146,1.9559353063875948E-4
274,1.9559353063875948E-4
530,1.9559353063875948E-4
1042,1.9559353063875948E-4
2066,1.9559353063875948E-4
4114,1.9559353063875948E-4
8210,1.9559353063875948E-4
51,5.335813021087147E-4
83,5.335813021087147E-4
147,5.335813021087147E-4
275,5.335813021087147E-4
531,5.335813021087147E-4
1043,5.335813021087147E-4
2067,5.335813021087147E-4
4115,5.335813021087147E-4
