id,boa_peak,boa_size
407,11199,770
408,14843,2058
409,14843,2058
410,14843,2058
411,14843,2058
412,15357,3078
413,15357,3078
414,11199,770
415,11199,770
416,14843,2058
417,14843,2058
418,14843,2058
419,14843,2058
420,15357,3078
421,15357,3078
422,11199,770
423,11199,770
424,14843,2058
425,14843,2058
426,14843,2058
427,14843,2058
428,15357,3078
429,15357,3078
430,11199,770
431,11199,770
432,14843,2058
433,14843,2058
434,14843,2058
435,14843,2058
436,15357,3078
437,15357,3078
438,11199,770
439,11199,770
440,14843,2058
441,14843,2058
442,14843,2058
443,14843,2058
444,15357,3078
445,15357,3078
446,11199,770
447,11199,770
448,14843,2058
449,14843,2058
450,14843,2058
451,14843,2058
452,15357,3078
453,15357,3078
454,3071,194
455,3071,194
456,14843,2058
457,14843,2058
458,14843,2058
459,14843,2058
460,15357,3078
461,15357,3078
462,3071,194
463,3071,194
464,14843,2058
465,14843,2058
466,14843,2058
467,14843,2058
468,15357,3078
469,15357,3078
470,3071,194
471,3071,194
472,14843,2058
473,14843,2058
474,14843,2058
475,14843,2058
476,15357,3078
477,15357,3078
478,3071,194
479,3071,194
480,14843,2058
481,14843,2058
482,14843,2058
483,14843,2058
484,15357,3078
485,15357,3078
486,3071,194
487,3071,194
488,14843,2058
489,14843,2058
490,14843,2058
491,14843,2058
492,15357,3078
493,15357,3078
494,3071,194
495,3071,194
496,14843,2058
497,14843,2058
498,14843,2058
499,14843,2058
500,15357,3078
501,15357,3078
502,3071,194
503,3071,194
504,14843,2058
505,14843,2058
506,14843,2058
507,14843,2058
508,15357,3078
509,15357,3078
510,3071,194
511,3071,194
512,15357,3078
513,15357,3078
514,11199,770
515,11199,770
516,15357,3078
517,15357,3078
518,11199,770
519,11199,770
520,15357,3078
521,15357,3078
522,11199,770
523,11199,770
524,15357,3078
525,15357,3078
526,11199,770
527,11199,770
528,15357,3078
529,15357,3078
530,11199,770
531,11199,770
532,15357,3078
533,15357,3078
534,11199,770
535,11199,770
536,15357,3078
537,15357,3078
538,11199,770
539,11199,770
540,15357,3078
541,15357,3078
542,11199,770
543,11199,770
544,15357,3078
545,15357,3078
546,11199,770
547,11199,770
548,15357,3078
549,15357,3078
550,11199,770
551,11199,770
552,15357,3078
553,15357,3078
554,11199,770
555,11199,770
556,15357,3078
557,15357,3078
558,11199,770
559,11199,770
560,15357,3078
561,15357,3078
562,11199,770
563,11199,770
564,15357,3078
565,15357,3078
566,11199,770
567,11199,770
568,15357,3078
569,15357,3078
570,11199,770
571,11199,770
572,15357,3078
573,15357,3078
574,11199,770
575,11199,770
576,15357,3078
577,15357,3078
578,16127,2050
579,16127,2050
580,15357,3078
581,15357,3078
582,16127,2050
583,16127,2050
584,15357,3078
585,15357,3078
586,16127,2050
587,16127,2050
588,15357,3078
589,15357,3078
590,16127,2050
591,16127,2050
592,15357,3078
593,15357,3078
594,16127,2050
595,16127,2050
596,15357,3078
597,15357,3078
598,16127,2050
599,16127,2050
600,15357,3078
601,15357,3078
602,16127,2050
603,16127,2050
604,15357,3078
605,15357,3078
606,16127,2050
607,16127,2050
608,15357,3078
609,15357,3078
610,16127,2050
611,16127,2050
612,15357,3078
613,15357,3078
614,16127,2050
615,16127,2050
616,15357,3078
617,15357,3078
618,16127,2050
619,16127,2050
620,15357,3078
621,15357,3078
622,16127,2050
623,16127,2050
624,15357,3078
625,15357,3078
626,16127,2050
627,16127,2050
628,15357,3078
629,15357,3078
630,16127,2050
631,16127,2050
632,15357,3078
633,15357,3078
634,16127,2050
635,16127,2050
636,15357,3078
637,15357,3078
638,16127,2050
639,16127,2050
640,15357,3078
641,15357,3078
642,11199,770
643,11199,770
644,15357,3078
645,15357,3078
646,11199,770
647,11199,770
648,15357,3078
649,15357,3078
650,11199,770
651,11199,770
652,15357,3078
653,15357,3078
654,11199,770
655,11199,770
656,15357,3078
657,15357,3078
658,11199,770
659,11199,770
660,15357,3078
661,15357,3078
662,11199,770
663,11199,770
664,15357,3078
665,15357,3078
666,11199,770
667,11199,770
668,15357,3078
669,15357,3078
670,11199,770
671,11199,770
672,15357,3078
673,15357,3078
674,11199,770
675,11199,770
676,15357,3078
677,15357,3078
678,11199,770
679,11199,770
680,15357,3078
681,15357,3078
682,11199,770
683,11199,770
684,15357,3078
685,15357,3078
686,11199,770
687,11199,770
688,15357,3078
689,15357,3078
690,11199,770
691,11199,770
692,15357,3078
693,15357,3078
694,11199,770
695,11199,770
696,15357,3078
697,15357,3078
698,11199,770
699,11199,770
700,15357,3078
701,15357,3078
702,11199,770
703,11199,770
704,15357,3078
705,15357,3078
706,16127,2050
707,16127,2050
708,15357,3078
709,15357,3078
710,16127,2050
711,16127,2050
712,15357,3078
713,15357,3078
714,16127,2050
715,16127,2050
716,15357,3078
717,15357,3078
718,16127,2050
719,16127,2050
720,15357,3078
721,15357,3078
722,16127,2050
723,16127,2050
724,15357,3078
725,15357,3078
726,16127,2050
727,16127,2050
728,15357,3078
729,15357,3078
730,16127,2050
731,16127,2050
732,15357,3078
733,15357,3078
734,16127,2050
735,16127,2050
736,15357,3078
737,15357,3078
738,16127,2050
739,16127,2050
740,15357,3078
741,15357,3078
742,16127,2050
743,16127,2050
744,15357,3078
745,15357,3078
746,16127,2050
747,16127,2050
748,15357,3078
749,15357,3078
750,16127,2050
751,16127,2050
752,15357,3078
753,15357,3078
754,16127,2050
755,16127,2050
756,15357,3078
757,15357,3078
758,16127,2050
759,16127,2050
760,15357,3078
761,15357,3078
762,16127,2050
763,16127,2050
764,15357,3078
765,15357,3078
766,16127,2050
767,16127,2050
768,15357,3078
769,15357,3078
770,11199,770
771,11199,770
772,15357,3078
773,15357,3078
774,11199,770
775,11199,770
776,15357,3078
777,15357,3078
778,11199,770
779,11199,770
780,15357,3078
781,15357,3078
782,11199,770
783,11199,770
784,15357,3078
785,15357,3078
786,11199,770
787,11199,770
788,15357,3078
789,15357,3078
790,11199,770
791,11199,770
792,15357,3078
793,15357,3078
794,11199,770
795,11199,770
796,15357,3078
797,15357,3078
798,11199,770
799,11199,770
800,15357,3078
801,15357,3078
802,11199,770
803,11199,770
804,15357,3078
805,15357,3078
806,11199,770
807,11199,770
808,15357,3078
809,15357,3078
810,11199,770
811,11199,770
812,15357,3078
813,15357,3078
814,11199,770
815,11199,770
816,15357,3078
817,15357,3078
818,11199,770
819,11199,770
820,15357,3078
821,15357,3078
822,11199,770
823,11199,770
824,15357,3078
825,15357,3078
826,11199,770
827,11199,770
828,15357,3078
829,15357,3078
830,11199,770
831,11199,770
832,15357,3078
833,15357,3078
834,3071,194
835,3071,194
836,15357,3078
837,15357,3078
838,3071,194
839,3071,194
840,15357,3078
841,15357,3078
842,3071,194
843,3071,194
844,15357,3078
845,15357,3078
846,3071,194
847,3071,194
848,15357,3078
849,15357,3078
850,3071,194
851,3071,194
852,15357,3078
853,15357,3078
854,3071,194
855,3071,194
856,15357,3078
857,15357,3078
858,3071,194
859,3071,194
860,15357,3078
861,15357,3078
862,3071,194
863,3071,194
864,15357,3078
865,15357,3078
866,3071,194
867,3071,194
868,15357,3078
869,15357,3078
870,3071,194
871,3071,194
872,15357,3078
873,15357,3078
874,3071,194
875,3071,194
876,15357,3078
877,15357,3078
878,3071,194
879,3071,194
880,15357,3078
881,15357,3078
882,3071,194
883,3071,194
884,15357,3078
885,15357,3078
886,3071,194
887,3071,194
888,15357,3078
889,15357,3078
890,3071,194
891,3071,194
892,15357,3078
893,15357,3078
894,3071,194
895,3071,194
896,15357,3078
897,15357,3078
898,11199,770
899,11199,770
900,15357,3078
901,15357,3078
902,11199,770
903,11199,770
904,15357,3078
905,15357,3078
906,11199,770
907,11199,770
908,15357,3078
909,15357,3078
910,11199,770
911,11199,770
912,15357,3078
913,15357,3078
914,11199,770
915,11199,770
916,15357,3078
917,15357,3078
918,11199,770
919,11199,770
920,15357,3078
921,15357,3078
922,11199,770
923,11199,770
924,15357,3078
925,15357,3078
926,11199,770
927,11199,770
928,15357,3078
929,15357,3078
930,11199,770
931,11199,770
932,15357,3078
933,15357,3078
934,11199,770
935,11199,770
936,15357,3078
937,15357,3078
938,11199,770
939,11199,770
940,15357,3078
941,15357,3078
942,11199,770
943,11199,770
944,15357,3078
945,15357,3078
946,11199,770
947,11199,770
948,15357,3078
949,15357,3078
950,11199,770
951,11199,770
952,15357,3078
953,15357,3078
954,11199,770
955,11199,770
956,15357,3078
957,15357,3078
958,11199,770
959,11199,770
960,15357,3078
961,15357,3078
962,3071,194
963,3071,194
964,15357,3078
965,15357,3078
966,3071,194
967,3071,194
968,15357,3078
969,15357,3078
970,3071,194
971,3071,194
972,15357,3078
973,15357,3078
974,3071,194
975,3071,194
976,15357,3078
977,15357,3078
978,3071,194
979,3071,194
980,15357,3078
981,15357,3078
982,3071,194
983,3071,194
984,15357,3078
985,15357,3078
986,3071,194
987,3071,194
988,15357,3078
989,15357,3078
990,3071,194
991,3071,194
992,15357,3078
993,15357,3078
994,3071,194
995,3071,194
996,15357,3078
997,15357,3078
998,3071,194
999,3071,194
1000,15357,3078
1001,15357,3078
1002,3071,194
1003,3071,194
1004,15357,3078
1005,15357,3078
1006,3071,194
1007,3071,194
1008,15357,3078
1009,15357,3078
1010,3071,194
1011,3071,194
1012,15357,3078
1013,15357,3078
1014,3071,194
1015,3071,194
1016,15357,3078
1017,15357,3078
1018,3071,194
1019,3071,194
1020,15357,3078
1021,15357,3078
1022,3071,194
1023,3071,194
1024,15866,1028
1025,16377,1026
1026,15866,1028
1027,16315,769
1028,16380,1538
1029,15869,514
1030,12222,385
1031,15807,512
1032,15866,1028
1033,16377,1026
1034,15866,1028
1035,16315,769
1036,16380,1538
1037,15869,514
1038,12222,385
1039,15807,512
1040,15866,1028
1041,16377,1026
1042,15866,1028
1043,16315,769
1044,16380,1538
1045,15869,514
1046,12222,385
1047,15807,512
1048,15866,1028
1049,16377,1026
1050,15866,1028
1051,16315,769
1052,16380,1538
1053,15869,514
1054,12222,385
1055,15807,512
1056,15866,1028
1057,16377,1026
1058,15866,1028
1059,16315,769
1060,16380,1538
1061,15869,514
1062,12222,385
1063,15807,512
1064,15866,1028
1065,16377,1026
1066,15866,1028
1067,16315,769
1068,16380,1538
1069,15869,514
1070,12222,385
1071,15807,512
1072,15866,1028
1073,16377,1026
1074,15866,1028
1075,16315,769
1076,16380,1538
1077,15869,514
1078,12222,385
1079,15807,512
1080,15866,1028
1081,16377,1026
1082,15866,1028
1083,16315,769
1084,16380,1538
1085,15869,514
1086,12222,385
1087,15807,512
1088,15866,1028
1089,16377,1026
1090,15866,1028
1091,16127,2050
1092,16380,1538
1093,15869,514
1094,16127,2050
1095,16127,2050
1096,15866,1028
1097,16377,1026
1098,15866,1028
1099,16127,2050
1100,16380,1538
1101,15869,514
1102,16127,2050
1103,16127,2050
1104,15866,1028
1105,16377,1026
1106,15866,1028
1107,16127,2050
1108,16380,1538
1109,15869,514
1110,16127,2050
1111,16127,2050
1112,15866,1028
1113,16377,1026
1114,15866,1028
1115,16127,2050
1116,16380,1538
1117,15869,514
1118,16127,2050
1119,16127,2050
1120,15866,1028
1121,16377,1026
1122,15866,1028
1123,16127,2050
1124,16380,1538
1125,15869,514
1126,16127,2050
1127,16127,2050
1128,15866,1028
1129,16377,1026
1130,15866,1028
1131,16127,2050
1132,16380,1538
1133,15869,514
1134,16127,2050
1135,16127,2050
1136,15866,1028
1137,16377,1026
1138,15866,1028
1139,16127,2050
1140,16380,1538
1141,15869,514
1142,16127,2050
1143,16127,2050
1144,15866,1028
1145,16377,1026
1146,15866,1028
1147,16127,2050
1148,16380,1538
1149,15869,514
1150,16127,2050
1151,16127,2050
1152,15866,1028
1153,16377,1026
1154,15866,1028
1155,16315,769
1156,16380,1538
1157,15869,514
1158,12222,385
1159,15807,512
1160,15866,1028
1161,16377,1026
1162,15866,1028
1163,16315,769
1164,16380,1538
1165,15869,514
1166,12222,385
1167,15807,512
1168,15866,1028
1169,16377,1026
1170,15866,1028
1171,16315,769
1172,16380,1538
1173,15869,514
1174,12222,385
1175,15807,512
1176,15866,1028
1177,16377,1026
1178,15866,1028
1179,16315,769
1180,16380,1538
1181,15869,514
1182,12222,385
1183,15807,512
1184,15866,1028
1185,16377,1026
1186,15866,1028
1187,16315,769
1188,16380,1538
1189,15869,514
1190,12222,385
1191,15807,512
1192,15866,1028
1193,16377,1026
1194,15866,1028
1195,16315,769
1196,16380,1538
1197,15869,514
1198,12222,385
1199,15807,512
1200,15866,1028
1201,16377,1026
1202,15866,1028
1203,16315,769
1204,16380,1538
1205,15869,514
1206,12222,385
1207,15807,512
1208,15866,1028
1209,16377,1026
1210,15866,1028
1211,16315,769
1212,16380,1538
1213,15869,514
1214,12222,385
1215,15807,512
1216,15866,1028
1217,16377,1026
1218,15866,1028
1219,16127,2050
1220,16380,1538
1221,15869,514
1222,16127,2050
1223,16127,2050
1224,15866,1028
1225,16377,1026
1226,15866,1028
1227,16127,2050
1228,16380,1538
1229,15869,514
1230,16127,2050
1231,16127,2050
1232,15866,1028
1233,16377,1026
1234,15866,1028
1235,16127,2050
1236,16380,1538
1237,15869,514
1238,16127,2050
1239,16127,2050
1240,15866,1028
1241,16377,1026
1242,15866,1028
1243,16127,2050
1244,16380,1538
1245,15869,514
1246,16127,2050
1247,16127,2050
1248,15866,1028
1249,16377,1026
1250,15866,1028
1251,16127,2050
1252,16380,1538
1253,15869,514
1254,16127,2050
1255,16127,2050
1256,15866,1028
1257,16377,1026
1258,15866,1028
1259,16127,2050
1260,16380,1538
1261,15869,514
1262,16127,2050
1263,16127,2050
1264,15866,1028
1265,16377,1026
1266,15866,1028
1267,16127,2050
1268,16380,1538
1269,15869,514
1270,16127,2050
1271,16127,2050
1272,15866,1028
1273,16377,1026
1274,15866,1028
1275,16127,2050
1276,16380,1538
1277,15869,514
1278,16127,2050
1279,16127,2050
1280,15866,1028
1281,16377,1026
1282,15866,1028
1283,16315,769
1284,16380,1538
1285,15869,514
1286,12222,385
1287,15807,512
1288,15866,1028
1289,16377,1026
1290,15866,1028
1291,16315,769
1292,16380,1538
1293,15869,514
1294,12222,385
1295,15807,512
1296,15866,1028
1297,16377,1026
1298,15866,1028
1299,16315,769
1300,16380,1538
1301,15869,514
1302,12222,385
1303,15807,512
1304,15866,1028
1305,16377,1026
1306,15866,1028
1307,16315,769
1308,16380,1538
1309,15869,514
1310,12222,385
1311,15807,512
1312,15866,1028
1313,16377,1026
1314,15866,1028
1315,16315,769
1316,16380,1538
1317,15869,514
1318,12222,385
1319,15807,512
1320,15866,1028
1321,16377,1026
1322,15866,1028
1323,16315,769
1324,16380,1538
1325,15869,514
1326,12222,385
1327,15807,512
1328,15866,1028
1329,16377,1026
1330,15866,1028
1331,16315,769
1332,16380,1538
1333,15869,514
1334,12222,385
1335,15807,512
1336,15866,1028
1337,16377,1026
1338,15866,1028
1339,16315,769
1340,16380,1538
1341,15869,514
1342,12222,385
1343,15807,512
1344,15866,1028
1345,16377,1026
1346,15866,1028
1347,8187,193
1348,16380,1538
1349,15869,514
1350,4094,97
1351,7679,128
1352,15866,1028
1353,16377,1026
1354,15866,1028
1355,8187,193
1356,16380,1538
1357,15869,514
1358,4094,97
1359,7679,128
1360,15866,1028
1361,16377,1026
1362,15866,1028
1363,8187,193
1364,16380,1538
1365,15869,514
1366,4094,97
1367,7679,128
1368,15866,1028
1369,16377,1026
1370,15866,1028
1371,8187,193
1372,16380,1538
1373,15869,514
1374,4094,97
1375,7679,128
1376,15866,1028
1377,16377,1026
1378,15866,1028
1379,8187,193
1380,16380,1538
1381,15869,514
1382,4094,97
1383,7679,128
1384,15866,1028
1385,16377,1026
1386,15866,1028
1387,8187,193
1388,16380,1538
1389,15869,514
1390,4094,97
1391,7679,128
1392,15866,1028
1393,16377,1026
1394,15866,1028
1395,8187,193
1396,16380,1538
1397,15869,514
1398,4094,97
1399,7679,128
1400,15866,1028
1401,16377,1026
1402,15866,1028
1403,8187,193
1404,16380,1538
1405,15869,514
1406,4094,97
1407,7679,128
1408,15866,1028
1409,16377,1026
1410,15866,1028
1411,16315,769
1412,16380,1538
1413,15869,514
1414,12222,385
1415,15807,512
1416,15866,1028
1417,16377,1026
1418,15866,1028
1419,16315,769
1420,16380,1538
1421,15869,514
1422,12222,385
1423,15807,512
1424,15866,1028
1425,16377,1026
1426,15866,1028
1427,16315,769
1428,16380,1538
1429,15869,514
1430,12222,385
1431,15807,512
1432,15866,1028
1433,16377,1026
1434,15866,1028
1435,16315,769
1436,16380,1538
1437,15869,514
1438,12222,385
1439,15807,512
1440,15866,1028
1441,16377,1026
1442,15866,1028
1443,16315,769
1444,16380,1538
1445,15869,514
1446,12222,385
1447,15807,512
1448,15866,1028
1449,16377,1026
1450,15866,1028
1451,16315,769
1452,16380,1538
1453,15869,514
1454,12222,385
1455,15807,512
1456,15866,1028
1457,16377,1026
1458,15866,1028
1459,16315,769
1460,16380,1538
1461,15869,514
1462,12222,385
1463,15807,512
1464,15866,1028
1465,16377,1026
1466,15866,1028
1467,16315,769
1468,16380,1538
1469,15869,514
1470,12222,385
1471,15807,512
1472,15866,1028
1473,16377,1026
1474,15866,1028
1475,8187,193
1476,16380,1538
1477,15869,514
1478,4094,97
1479,7679,128
1480,15866,1028
1481,16377,1026
1482,15866,1028
1483,8187,193
1484,16380,1538
1485,15869,514
1486,4094,97
1487,7679,128
1488,15866,1028
1489,16377,1026
1490,15866,1028
1491,8187,193
1492,16380,1538
1493,15869,514
1494,4094,97
1495,7679,128
1496,15866,1028
1497,16377,1026
1498,15866,1028
1499,8187,193
1500,16380,1538
1501,15869,514
1502,4094,97
1503,7679,128
1504,15866,1028
1505,16377,1026
1506,15866,1028
1507,8187,193
1508,16380,1538
1509,15869,514
1510,4094,97
1511,7679,128
1512,15866,1028
1513,16377,1026
1514,15866,1028
1515,8187,193
1516,16380,1538
1517,15869,514
1518,4094,97
1519,7679,128
1520,15866,1028
1521,16377,1026
1522,15866,1028
1523,8187,193
1524,16380,1538
1525,15869,514
1526,4094,97
1527,7679,128
1528,15866,1028
1529,16377,1026
1530,15866,1028
1531,8187,193
