id,boa_peak,boa_size
0,4708,16384
1,4708,16384
2,4708,16384
3,4708,16384
4,4708,16384
5,4708,16384
6,4708,16384
7,4708,16384
8,4708,16384
9,4708,16384
10,4708,16384
11,4708,16384
12,4708,16384
13,4708,16384
14,4708,16384
15,4708,16384
16,4708,16384
17,4708,16384
18,4708,16384
19,4708,16384
20,4708,16384
21,4708,16384
22,4708,16384
23,4708,16384
24,4708,16384
25,4708,16384
26,4708,16384
27,4708,16384
28,4708,16384
29,4708,16384
30,4708,16384
31,4708,16384
32,4708,16384
33,4708,16384
34,4708,16384
35,4708,16384
36,4708,16384
37,4708,16384
38,4708,16384
39,4708,16384
40,4708,16384
41,4708,16384
42,4708,16384
43,4708,16384
44,4708,16384
45,4708,16384
46,4708,16384
47,4708,16384
48,4708,16384
49,4708,16384
50,4708,16384
51,4708,16384
52,4708,16384
53,4708,16384
54,4708,16384
55,4708,16384
56,4708,16384
57,4708,16384
58,4708,16384
59,4708,16384
60,4708,16384
61,4708,16384
62,4708,16384
63,4708,16384
64,4708,16384
65,4708,16384
66,4708,16384
67,4708,16384
68,4708,16384
69,4708,16384
70,4708,16384
71,4708,16384
72,4708,16384
73,4708,16384
74,4708,16384
75,4708,16384
76,4708,16384
77,4708,16384
78,4708,16384
79,4708,16384
80,4708,16384
81,4708,16384
82,4708,16384
83,4708,16384
84,4708,16384
85,4708,16384
86,4708,16384
87,4708,16384
88,4708,16384
89,4708,16384
90,4708,16384
91,4708,16384
92,4708,16384
93,4708,16384
94,4708,16384
95,4708,16384
96,4708,16384
97,4708,16384
98,4708,16384
99,4708,16384
100,4708,16384
101,4708,16384
102,4708,16384
103,4708,16384
104,4708,16384
105,4708,16384
106,4708,16384
107,4708,16384
108,4708,16384
109,4708,16384
110,4708,16384
111,4708,16384
112,4708,16384
113,4708,16384
114,4708,16384
115,4708,16384
116,4708,16384
117,4708,16384
118,4708,16384
119,4708,16384
120,4708,16384
121,4708,16384
122,4708,16384
123,4708,16384
124,4708,16384
125,4708,16384
126,4708,16384
127,4708,16384
128,4708,16384
129,4708,16384
130,4708,16384
131,4708,16384
132,4708,16384
133,4708,16384
134,4708,16384
135,4708,16384
136,4708,16384
137,4708,16384
138,4708,16384
139,4708,16384
140,4708,16384
141,4708,16384
142,4708,16384
143,4708,16384
144,4708,16384
145,4708,16384
146,4708,16384
147,4708,16384
148,4708,16384
149,4708,16384
150,4708,16384
151,4708,16384
152,4708,16384
153,4708,16384
154,4708,16384
155,4708,16384
156,4708,16384
157,4708,16384
158,4708,16384
159,4708,16384
160,4708,16384
161,4708,16384
162,4708,16384
163,4708,16384
164,4708,16384
165,4708,16384
166,4708,16384
167,4708,16384
168,4708,16384
169,4708,16384
170,4708,16384
171,4708,16384
172,4708,16384
173,4708,16384
174,4708,16384
175,4708,16384
176,4708,16384
177,4708,16384
178,4708,16384
179,4708,16384
180,4708,16384
181,4708,16384
182,4708,16384
183,4708,16384
184,4708,16384
185,4708,16384
186,4708,16384
187,4708,16384
188,4708,16384
189,4708,16384
190,4708,16384
191,4708,16384
192,4708,16384
193,4708,16384
194,4708,16384
195,4708,16384
196,4708,16384
197,4708,16384
198,4708,16384
199,4708,16384
200,4708,16384
201,4708,16384
202,4708,16384
203,4708,16384
204,4708,16384
205,4708,16384
206,4708,16384
207,4708,16384
208,4708,16384
209,4708,16384
210,4708,16384
211,4708,16384
212,4708,16384
213,4708,16384
214,4708,16384
215,4708,16384
216,4708,16384
217,4708,16384
218,4708,16384
219,4708,16384
220,4708,16384
221,4708,16384
222,4708,16384
223,4708,16384
224,4708,16384
225,4708,16384
226,4708,16384
227,4708,16384
228,4708,16384
229,4708,16384
230,4708,16384
231,4708,16384
232,4708,16384
233,4708,16384
234,4708,16384
235,4708,16384
236,4708,16384
237,4708,16384
238,4708,16384
239,4708,16384
240,4708,16384
241,4708,16384
242,4708,16384
243,4708,16384
244,4708,16384
245,4708,16384
246,4708,16384
247,4708,16384
248,4708,16384
249,4708,16384
250,4708,16384
251,4708,16384
252,4708,16384
253,4708,16384
254,4708,16384
255,4708,16384
256,4708,16384
257,4708,16384
258,4708,16384
259,4708,16384
260,4708,16384
261,4708,16384
262,4708,16384
263,4708,16384
264,4708,16384
265,4708,16384
266,4708,16384
267,4708,16384
268,4708,16384
269,4708,16384
270,4708,16384
271,4708,16384
272,4708,16384
273,4708,16384
274,4708,16384
275,4708,16384
276,4708,16384
277,4708,16384
278,4708,16384
279,4708,16384
280,4708,16384
281,4708,16384
282,4708,16384
283,4708,16384
284,4708,16384
285,4708,16384
286,4708,16384
287,4708,16384
288,4708,16384
289,4708,16384
290,4708,16384
291,4708,16384
292,4708,16384
293,4708,16384
294,4708,16384
295,4708,16384
296,4708,16384
297,4708,16384
298,4708,16384
299,4708,16384
300,4708,16384
301,4708,16384
302,4708,16384
303,4708,16384
304,4708,16384
305,4708,16384
306,4708,16384
307,4708,16384
308,4708,16384
309,4708,16384
310,4708,16384
311,4708,16384
312,4708,16384
313,4708,16384
314,4708,16384
315,4708,16384
316,4708,16384
317,4708,16384
318,4708,16384
319,4708,16384
320,4708,16384
321,4708,16384
322,4708,16384
323,4708,16384
324,4708,16384
325,4708,16384
326,4708,16384
327,4708,16384
328,4708,16384
329,4708,16384
330,4708,16384
331,4708,16384
332,4708,16384
333,4708,16384
334,4708,16384
335,4708,16384
336,4708,16384
337,4708,16384
338,4708,16384
339,4708,16384
340,4708,16384
341,4708,16384
342,4708,16384
343,4708,16384
344,4708,16384
345,4708,16384
346,4708,16384
347,4708,16384
348,4708,16384
349,4708,16384
350,4708,16384
351,4708,16384
352,4708,16384
353,4708,16384
354,4708,16384
355,4708,16384
356,4708,16384
357,4708,16384
358,4708,16384
359,4708,16384
360,4708,16384
361,4708,16384
362,4708,16384
363,4708,16384
364,4708,16384
365,4708,16384
366,4708,16384
367,4708,16384
368,4708,16384
369,4708,16384
370,4708,16384
371,4708,16384
372,4708,16384
373,4708,16384
374,4708,16384
375,4708,16384
376,4708,16384
377,4708,16384
378,4708,16384
379,4708,16384
380,4708,16384
381,4708,16384
382,4708,16384
383,4708,16384
384,4708,16384
385,4708,16384
386,4708,16384
387,4708,16384
388,4708,16384
389,4708,16384
390,4708,16384
391,4708,16384
392,4708,16384
393,4708,16384
394,4708,16384
395,4708,16384
396,4708,16384
397,4708,16384
398,4708,16384
399,4708,16384
400,4708,16384
401,4708,16384
402,4708,16384
403,4708,16384
404,4708,16384
405,4708,16384
406,4708,16384
407,4708,16384
408,4708,16384
409,4708,16384
410,4708,16384
411,4708,16384
412,4708,16384
413,4708,16384
414,4708,16384
415,4708,16384
416,4708,16384
417,4708,16384
418,4708,16384
419,4708,16384
420,4708,16384
421,4708,16384
422,4708,16384
423,4708,16384
424,4708,16384
425,4708,16384
426,4708,16384
427,4708,16384
428,4708,16384
429,4708,16384
430,4708,16384
431,4708,16384
432,4708,16384
433,4708,16384
434,4708,16384
435,4708,16384
436,4708,16384
437,4708,16384
438,4708,16384
439,4708,16384
440,4708,16384
441,4708,16384
442,4708,16384
443,4708,16384
444,4708,16384
445,4708,16384
446,4708,16384
447,4708,16384
448,4708,16384
449,4708,16384
450,4708,16384
451,4708,16384
452,4708,16384
453,4708,16384
454,4708,16384
455,4708,16384
456,4708,16384
457,4708,16384
458,4708,16384
459,4708,16384
460,4708,16384
461,4708,16384
462,4708,16384
463,4708,16384
464,4708,16384
465,4708,16384
466,4708,16384
467,4708,16384
468,4708,16384
469,4708,16384
470,4708,16384
471,4708,16384
472,4708,16384
473,4708,16384
474,4708,16384
475,4708,16384
476,4708,16384
477,4708,16384
478,4708,16384
479,4708,16384
480,4708,16384
481,4708,16384
482,4708,16384
483,4708,16384
484,4708,16384
485,4708,16384
486,4708,16384
487,4708,16384
488,4708,16384
489,4708,16384
490,4708,16384
491,4708,16384
492,4708,16384
493,4708,16384
494,4708,16384
495,4708,16384
496,4708,16384
497,4708,16384
498,4708,16384
499,4708,16384
500,4708,16384
501,4708,16384
502,4708,16384
503,4708,16384
504,4708,16384
505,4708,16384
506,4708,16384
507,4708,16384
508,4708,16384
509,4708,16384
510,4708,16384
511,4708,16384
512,4708,16384
513,4708,16384
514,4708,16384
515,4708,16384
516,4708,16384
517,4708,16384
518,4708,16384
519,4708,16384
520,4708,16384
521,4708,16384
522,4708,16384
523,4708,16384
524,4708,16384
525,4708,16384
526,4708,16384
527,4708,16384
528,4708,16384
529,4708,16384
530,4708,16384
531,4708,16384
532,4708,16384
533,4708,16384
534,4708,16384
535,4708,16384
536,4708,16384
537,4708,16384
538,4708,16384
539,4708,16384
540,4708,16384
541,4708,16384
542,4708,16384
543,4708,16384
544,4708,16384
545,4708,16384
546,4708,16384
547,4708,16384
548,4708,16384
549,4708,16384
550,4708,16384
551,4708,16384
552,4708,16384
553,4708,16384
554,4708,16384
555,4708,16384
556,4708,16384
557,4708,16384
558,4708,16384
559,4708,16384
560,4708,16384
561,4708,16384
562,4708,16384
563,4708,16384
564,4708,16384
565,4708,16384
566,4708,16384
567,4708,16384
568,4708,16384
569,4708,16384
570,4708,16384
571,4708,16384
572,4708,16384
573,4708,16384
574,4708,16384
575,4708,16384
576,4708,16384
577,4708,16384
578,4708,16384
579,4708,16384
580,4708,16384
581,4708,16384
582,4708,16384
583,4708,16384
584,4708,16384
585,4708,16384
586,4708,16384
587,4708,16384
588,4708,16384
589,4708,16384
590,4708,16384
591,4708,16384
592,4708,16384
593,4708,16384
594,4708,16384
595,4708,16384
596,4708,16384
597,4708,16384
598,4708,16384
599,4708,16384
600,4708,16384
601,4708,16384
602,4708,16384
603,4708,16384
604,4708,16384
605,4708,16384
606,4708,16384
607,4708,16384
608,4708,16384
609,4708,16384
610,4708,16384
611,4708,16384
612,4708,16384
613,4708,16384
614,4708,16384
615,4708,16384
616,4708,16384
617,4708,16384
618,4708,16384
619,4708,16384
620,4708,16384
621,4708,16384
622,4708,16384
623,4708,16384
624,4708,16384
625,4708,16384
626,4708,16384
627,4708,16384
628,4708,16384
629,4708,16384
630,4708,16384
631,4708,16384
632,4708,16384
633,4708,16384
634,4708,16384
635,4708,16384
636,4708,16384
637,4708,16384
638,4708,16384
639,4708,16384
640,4708,16384
641,4708,16384
642,4708,16384
643,4708,16384
644,4708,16384
645,4708,16384
646,4708,16384
647,4708,16384
648,4708,16384
649,4708,16384
650,4708,16384
651,4708,16384
652,4708,16384
653,4708,16384
654,4708,16384
655,4708,16384
656,4708,16384
657,4708,16384
658,4708,16384
659,4708,16384
660,4708,16384
661,4708,16384
662,4708,16384
663,4708,16384
664,4708,16384
665,4708,16384
666,4708,16384
667,4708,16384
668,4708,16384
669,4708,16384
670,4708,16384
671,4708,16384
672,4708,16384
673,4708,16384
674,4708,16384
675,4708,16384
676,4708,16384
677,4708,16384
678,4708,16384
679,4708,16384
680,4708,16384
681,4708,16384
682,4708,16384
683,4708,16384
684,4708,16384
685,4708,16384
686,4708,16384
687,4708,16384
688,4708,16384
689,4708,16384
690,4708,16384
691,4708,16384
692,4708,16384
693,4708,16384
694,4708,16384
695,4708,16384
696,4708,16384
697,4708,16384
698,4708,16384
699,4708,16384
700,4708,16384
701,4708,16384
702,4708,16384
703,4708,16384
704,4708,16384
705,4708,16384
706,4708,16384
707,4708,16384
708,4708,16384
709,4708,16384
710,4708,16384
711,4708,16384
712,4708,16384
713,4708,16384
714,4708,16384
715,4708,16384
716,4708,16384
717,4708,16384
718,4708,16384
719,4708,16384
720,4708,16384
721,4708,16384
722,4708,16384
723,4708,16384
724,4708,16384
725,4708,16384
