id,eigencentrality
0,0.0
1,1.5818494633909346E-5
2,1.5818494633909346E-5
4,1.5818494633909346E-5
8,1.5818494633909346E-5
16,1.5818494633909346E-5
32,1.5818494633909346E-5
64,1.5818494633909346E-5
128,1.5818494633909346E-5
256,1.5818494633909346E-5
512,1.5818494633909346E-5
1024,1.5818494633909346E-5
2048,0.05985862519901425
4096,0.12716186392416876
8192,1.0
3,6.545287446606652E-5
5,6.545287446606652E-5
9,6.545287446606652E-5
17,6.545287446606652E-5
33,6.545287446606652E-5
65,6.545287446606652E-5
129,6.545287446606652E-5
257,6.545287446606652E-5
513,6.545287446606652E-5
1025,6.545287446606652E-5
2049,0.04153182173826568
4097,0.08938025121814626
8193,0.48315592098902493
6,6.545287446606652E-5
10,6.545287446606652E-5
18,6.545287446606652E-5
34,6.545287446606652E-5
66,6.545287446606652E-5
130,6.545287446606652E-5
258,6.545287446606652E-5
514,6.545287446606652E-5
1026,6.545287446606652E-5
2050,0.04153182173826568
4098,0.08938025121814626
8194,0.48315592098902493
7,2.0266470542925532E-4
11,2.0266470542925532E-4
19,2.0266470542925532E-4
35,2.0266470542925532E-4
67,2.0266470542925532E-4
131,2.0266470542925532E-4
259,2.0266470542925532E-4
515,2.0266470542925532E-4
1027,2.0266470542925532E-4
2051,0.03142956279264135
4099,0.06855203970044901
8195,0.23812816153540675
12,6.545287446606652E-5
20,6.545287446606652E-5
36,6.545287446606652E-5
68,6.545287446606652E-5
132,6.545287446606652E-5
260,6.545287446606652E-5
516,6.545287446606652E-5
1028,6.545287446606652E-5
2052,0.04150132487091098
4100,0.08936554711124278
8196,0.4829471669845845
13,2.0266470542925532E-4
21,2.0266470542925532E-4
37,2.0266470542925532E-4
69,2.0266470542925532E-4
133,2.0266470542925532E-4
261,2.0266470542925532E-4
517,2.0266470542925532E-4
1029,2.0266470542925532E-4
2053,0.03140824860677237
4101,0.06855216608679518
8197,0.23804622029370906
14,2.0266470542925532E-4
22,2.0266470542925532E-4
38,2.0266470542925532E-4
70,2.0266470542925532E-4
134,2.0266470542925532E-4
262,2.0266470542925532E-4
518,2.0266470542925532E-4
1030,2.0266470542925532E-4
2054,0.03140824860677237
4102,0.06855216608679518
8198,0.23804622029370906
15,5.565945993177514E-4
23,5.565945993177514E-4
39,5.565945993177514E-4
71,5.565945993177514E-4
135,5.565945993177514E-4
263,5.565945993177514E-4
519,5.565945993177514E-4
1031,5.565945993177514E-4
2055,0.026426799193489458
4103,0.058255133412556996
8199,0.1215370289112077
24,6.545287446606652E-5
40,6.545287446606652E-5
72,6.545287446606652E-5
136,6.545287446606652E-5
264,6.545287446606652E-5
520,6.545287446606652E-5
1032,6.545287446606652E-5
2056,0.04146161690722892
4104,0.08923365203791439
8200,0.48289608516172
25,2.0266470542925532E-4
41,2.0266470542925532E-4
73,2.0266470542925532E-4
137,2.0266470542925532E-4
265,2.0266470542925532E-4
521,2.0266470542925532E-4
1033,2.0266470542925532E-4
2057,0.031402604527353745
4105,0.06850046914229709
8201,0.2381417435234514
26,2.0266470542925532E-4
42,2.0266470542925532E-4
74,2.0266470542925532E-4
138,2.0266470542925532E-4
266,2.0266470542925532E-4
522,2.0266470542925532E-4
1034,2.0266470542925532E-4
2058,0.031402604527353745
4106,0.06850046914229709
8202,0.2381417435234514
27,5.565945993177514E-4
43,5.565945993177514E-4
75,5.565945993177514E-4
139,5.565945993177514E-4
267,5.565945993177514E-4
523,5.565945993177514E-4
1035,5.565945993177514E-4
2059,0.02646137832906294
4107,0.058291574888964526
8203,0.12170403880128151
28,2.0266470542925532E-4
44,2.0266470542925532E-4
76,2.0266470542925532E-4
140,2.0266470542925532E-4
268,2.0266470542925532E-4
524,2.0266470542925532E-4
1036,2.0266470542925532E-4
2060,0.03141486817841111
