id,fitness
0,0
1,149
2,68
3,217
4,112
5,261
6,180
7,329
8,42
9,191
10,110
11,259
12,154
13,303
14,222
15,371
16,68
17,217
18,136
19,285
20,180
21,329
22,248
23,397
24,110
25,259
26,178
27,327
28,222
29,371
30,290
31,439
32,75
33,224
34,143
35,292
36,187
37,336
38,255
39,404
40,117
41,266
42,185
43,334
44,229
45,378
46,297
47,446
48,143
49,292
50,211
51,360
52,255
53,404
54,323
55,472
56,185
57,334
58,253
59,402
60,297
61,446
62,365
63,514
64,62
65,211
66,130
67,279
68,174
69,323
70,242
71,391
72,104
73,253
74,172
75,321
76,216
77,365
78,284
79,433
80,130
81,279
82,198
83,347
84,242
85,391
86,310
87,459
88,172
89,321
90,240
91,389
92,284
93,433
94,352
95,501
96,137
97,286
98,205
99,354
100,249
101,398
102,317
103,466
104,179
105,328
106,247
107,396
108,291
109,440
110,359
111,508
112,205
113,354
114,273
115,422
116,317
117,466
118,385
119,534
120,247
121,396
122,315
123,464
124,359
125,508
126,427
127,576
128,32
129,181
130,100
131,249
132,144
133,293
134,212
135,361
136,74
137,223
138,142
139,291
140,186
141,335
142,254
143,403
144,100
145,249
146,168
147,317
148,212
149,361
150,280
151,429
152,142
153,291
154,210
155,359
156,254
157,403
158,322
159,471
160,107
161,256
162,175
163,324
164,219
165,368
166,287
167,436
168,149
169,298
170,217
171,366
172,261
173,410
174,329
175,478
176,175
177,324
178,243
179,392
180,287
181,436
182,355
183,504
184,217
185,366
186,285
187,434
188,329
189,478
190,397
191,546
192,94
193,243
194,162
195,311
196,206
197,355
198,274
199,423
200,136
201,285
202,204
203,353
204,248
205,397
206,316
207,465
208,162
209,311
210,230
211,379
212,274
213,423
214,342
215,491
216,204
217,353
218,272
219,421
220,316
221,465
222,384
223,533
224,169
225,318
226,237
227,386
228,281
229,430
230,349
231,498
232,211
233,360
234,279
235,428
236,323
237,472
238,391
239,540
240,237
241,386
242,305
243,454
244,349
245,498
246,417
247,566
248,279
249,428
250,347
251,496
252,391
253,540
254,459
255,608
256,25
257,174
258,93
259,242
260,137
261,286
262,205
263,354
264,67
265,216
266,135
267,284
268,179
269,328
270,247
271,396
272,93
273,242
274,161
275,310
276,205
277,354
278,273
279,422
280,135
281,284
282,203
283,352
284,247
285,396
286,315
287,464
288,100
289,249
290,168
291,317
292,212
293,361
294,280
295,429
296,142
297,291
298,210
299,359
300,254
301,403
302,322
303,471
304,168
305,317
306,236
307,385
308,280
309,429
310,348
311,497
312,210
313,359
314,278
315,427
316,322
317,471
318,390
319,539
320,87
321,236
322,155
323,304
324,199
325,348
326,267
327,416
328,129
329,278
330,197
331,346
332,241
333,390
334,309
335,458
336,155
337,304
338,223
339,372
340,267
341,416
342,335
343,484
344,197
345,346
346,265
347,414
348,309
349,458
350,377
351,526
352,162
353,311
354,230
355,379
356,274
357,423
358,342
359,491
360,204
361,353
362,272
363,421
364,316
365,465
366,384
367,533
368,230
369,379
370,298
371,447
372,342
373,491
374,410
375,559
376,272
377,421
378,340
379,489
380,384
381,533
382,452
383,601
384,57
385,206
386,125
387,274
388,169
389,318
390,237
391,386
392,99
393,248
394,167
395,316
396,211
397,360
398,279
399,428
400,125
401,274
402,193
403,342
404,237
405,386
406,305
407,454
408,167
409,316
410,235
411,384
412,279
413,428
414,347
415,496
416,132
417,281
418,200
419,349
420,244
421,393
422,312
423,461
424,174
425,323
426,242
427,391
428,286
429,435
430,354
431,503
432,200
433,349
434,268
435,417
436,312
437,461
438,380
439,529
440,242
441,391
442,310
443,459
444,354
445,503
446,422
447,571
448,119
449,268
450,187
451,336
452,231
453,380
454,299
455,448
456,161
457,310
458,229
459,378
460,273
461,422
462,341
463,490
464,187
465,336
466,255
467,404
468,299
469,448
470,367
471,516
472,229
473,378
474,297
475,446
476,341
477,490
478,409
479,558
480,194
481,343
482,262
483,411
484,306
485,455
486,374
487,523
488,236
489,385
490,304
491,453
492,348
493,497
494,416
495,565
496,262
497,411
498,330
499,479
500,374
501,523
502,442
503,591
504,304
505,453
506,372
507,521
508,416
509,565
510,484
511,633
512,60
513,209
514,128
515,277
516,172
517,321
518,240
519,389
520,102
521,251
522,170
523,319
524,214
525,363
526,282
527,431
528,128
529,277
530,196
531,345
532,240
533,389
534,308
535,457
536,170
537,319
538,238
539,387
540,282
541,431
542,350
543,499
544,135
545,284
546,203
547,352
548,247
549,396
