x,fit_val
0,0.0
1,2.2873552871788423
2,3.2054036099952326
3,0.5969660354194485
4,3.7015368116007656
5,5.301727848863315
6,1.7195544708710158
7,4.449712664768673
8,7.310423586239834
9,3.299066130326221
10,4.6911017235067884
11,9.243959369565669
12,5.2955967492350124
13,4.411574907913686
14,11.030953006131025
15,7.658926966427985
16,3.5776692416084472
17,12.577559805252724
18,10.323003816424494
19,2.160765865798756
20,13.781653485326544
21,13.204813995523352
22,0.14585379577195756
23,14.539826676516364
24,16.20496497550224
25,2.4638510936450486
26,14.752609041830203
27,19.20932402241653
28,5.644066456910085
29,14.329096136204713
30,22.091478201065616
31,9.34772902265842
32,13.191276112748216
33,24.71588578811755
34,13.504206755257187
35,11.278079039198099
36,26.941615138206334
37,18.01938021384144
38,8.549082830147544
39,28.62656638416005
40,22.77657770920908
41,4.987776359268556
42,29.63206179865893
43,27.638353938759582
44,0.6042703710766077
45,29.82767877798011
46,32.44909120416233
47,4.562651249872377
48,29.09618817742941
49,37.03838454514238
50,10.444238014977243
51,27.338451680778977
52,41.225151073146655
53,16.9413207737014
54,24.478125947371495
55,44.822381608588024
56,23.92476595978069
57,20.466019045865334
58,47.64243081278477
59,31.236879002275636
60,15.283946535795414
61,49.50272140905255
62,38.69377509518903
63,8.947940715451304
64,50.231719667867644
65,46.088708918149955
66,1.510677090224841
67,49.675023826657366
68,53.19632708671369
69,6.93700303378397
70,47.70139516190322
